ShapedRewardPerEpisode,ShapedRewardCumulative,Pysc2RewardPerEpisode,Pysc2RewardCumulative,MeanLossPerEpisode,Epsilon,MergeDummy
218.84389005601406,1598712.4305700809,23,169872,1.8361909227096818e+24,0.0,0
198.23060443997383,1598910.6611745209,21,169893,1.8051081589454812e+24,0.0,0
207.7802247852087,1599118.441399306,22,169915,1.8706441083774125e+24,0.0,0
196.91086322069168,1599315.3522625268,21,169936,1.6808678964571666e+24,0.0,0
197.10530669987202,1599512.4575692266,21,169957,1.8525988692176822e+24,0.0,0
197.87434276938438,1599710.331911996,21,169978,1.5717385437841698e+24,0.0,0
207.1461729556322,1599917.4780849516,22,170000,1.596484562728675e+24,0.0,0
207.74506682157516,1600125.2231517732,22,170022,1.5921899301240145e+24,0.0,0
197.4590448141098,1600322.6821965873,21,170043,1.7977319112741947e+24,0.0,0
197.19791711866856,1600519.880113706,21,170064,1.6381305374332716e+24,0.0,0
186.11490485072136,1600705.9950185567,20,170084,1.6403834901684614e+24,0.0,0
165.04583214223385,1600871.040850699,18,170102,1.7389026503497496e+24,0.0,0
218.13649401068687,1601089.1773447096,23,170125,1.8284659162832517e+24,0.0,0
186.1640193015337,1601275.3413640112,20,170145,1.8552567856313653e+24,0.0,0
186.56241244077682,1601461.903776452,20,170165,1.7364237249996568e+24,0.0,0
197.66226671636105,1601659.5660431683,21,170186,1.7028048221556973e+24,0.0,0
197.26570315659046,1601856.831746325,21,170207,1.7354803469785122e+24,0.0,0
208.09542439877987,1602064.9271707237,22,170229,1.6705622193578622e+24,0.0,0
197.80729603767395,1602262.7344667614,21,170250,1.7980332561324613e+24,0.0,0
218.58012235164642,1602481.314589113,23,170273,1.7081891096973993e+24,0.0,0
186.32956774532795,1602667.6441568583,20,170293,1.8200297014036673e+24,0.0,0
186.6307720988989,1602854.2749289572,20,170313,1.6293452755681674e+24,0.0,0
197.0182964503765,1603051.2932254076,21,170334,1.6444878907248618e+24,0.0,0
197.10387113690376,1603248.3970965445,21,170355,1.6208992608557938e+24,0.0,0
165.57798926532269,1603413.9750858098,18,170373,1.64711395768198e+24,0.0,0
208.3628534525633,1603622.3379392624,22,170395,1.6591544934153417e+24,0.0,0
197.03470666706562,1603819.3726459295,21,170416,1.7857604067159214e+24,0.0,0
175.7711095660925,1603995.1437554955,19,170435,1.823940987608046e+24,0.0,0
186.92268007993698,1604182.0664355755,20,170455,1.7559570975914583e+24,0.0,0
186.43519268929958,1604368.5016282648,20,170475,1.6983196692724005e+24,0.0,0
208.13632993400097,1604576.6379581988,22,170497,1.6316535685355784e+24,0.0,0
197.79578465223312,1604774.433742851,21,170518,1.80200146783613e+24,0.0,0
175.8501110225916,1604950.2838538736,19,170537,1.6137436535374514e+24,0.0,0
207.59416776895523,1605157.8780216426,22,170559,1.773856780411232e+24,0.0,0
177.02267012000084,1605334.9006917626,19,170578,1.6735727856367668e+24,0.0,0
208.21238154172897,1605543.1130733043,22,170600,1.807254610556683e+24,0.0,0
207.87476912140846,1605750.9878424257,22,170622,1.8883658089399124e+24,0.0,0
217.81858715415,1605968.8064295799,23,170645,1.6324371228131468e+24,0.0,0
208.04044254124165,1606176.846872121,22,170667,1.7570666404244543e+24,0.0,0
197.4712596833706,1606374.3181318045,21,170688,1.7487279915271972e+24,0.0,0
239.3793705701828,1606613.6975023746,25,170713,1.6310060589955536e+24,0.0,0
185.91849702596664,1606799.6159994006,20,170733,1.8706861900123306e+24,0.0,0
208.28068348765373,1607007.8966828883,22,170755,1.8018958314032704e+24,0.0,0
217.9647111147642,1607225.861394003,23,170778,1.8878510294881054e+24,0.0,0
207.67435739934444,1607433.5357514024,22,170800,1.722840292062755e+24,0.0,0
208.4937589764595,1607642.0295103788,22,170822,1.8635526323177638e+24,0.0,0
175.5914993584156,1607817.6210097373,19,170841,1.7593120991698642e+24,0.0,0
229.0715164244175,1608046.6925261617,24,170865,1.838921329062967e+24,0.0,0
229.63518948853016,1608276.3277156502,24,170889,1.7869247133203863e+24,0.0,0
207.6632260531187,1608483.9909417033,22,170911,1.7598689602565893e+24,0.0,0
197.51274406909943,1608681.5036857724,21,170932,1.820120349856967e+24,0.0,0
187.16841585934162,1608868.6721016318,20,170952,1.7280719616202848e+24,0.0,0
229.5861665904522,1609098.2582682222,24,170976,1.628248126641346e+24,0.0,0
198.0843331515789,1609296.3426013738,21,170997,1.7745355629470692e+24,0.0,0
228.74368418753147,1609525.0862855613,24,171021,1.783958390404221e+24,0.0,0
208.14396531879902,1609733.2302508801,22,171043,1.8206058739255945e+24,0.0,0
207.09666888415813,1609940.3269197643,22,171065,1.9671907639795064e+24,0.0,0
208.56361404061317,1610148.890533805,22,171087,1.6591253821473503e+24,0.0,0
207.93634861707687,1610356.826882422,22,171109,1.984465419228595e+24,0.0,0
207.69237977266312,1610564.5192621946,22,171131,1.7663400204315714e+24,0.0,0
197.7610893547535,1610762.2803515494,21,171152,1.6960649871549537e+24,0.0,0
186.01200364530087,1610948.2923551947,20,171172,1.774636011233158e+24,0.0,0
186.280356913805,1611134.5727121085,20,171192,1.5877181799532087e+24,0.0,0
218.20150165259838,1611352.774213761,23,171215,1.6787704440099106e+24,0.0,0
197.11703324317932,1611549.8912470043,21,171236,1.6623578858158918e+24,0.0,0
185.97534456849098,1611735.8665915728,20,171256,1.791101747931577e+24,0.0,0
176.30912044644356,1611912.1757120192,19,171275,1.6453419173293993e+24,0.0,0
218.4982371777296,1612130.673949197,23,171298,1.7031436369628636e+24,0.0,0
218.68310472369194,1612349.3570539206,23,171321,1.6878644006078733e+24,0.0,0
207.77776551246643,1612557.134819433,22,171343,1.7069794068086906e+24,0.0,0
186.64335185289383,1612743.778171286,20,171363,1.6880402211373258e+24,0.0,0
229.325197160244,1612973.1033684462,24,171387,1.5961944588550783e+24,0.0,0
