x,y
26,56
74,36
43,33
74,33
26,9
65,39
17,56
17,29
56,29
69,36
65,36
65,36
69,49
83,43
56,26
13,63
74,36
78,43
52,56
43,16
78,43
30,0
4,36
30,53
78,49
21,29
69,9
48,59
30,3
39,46
74,33
17,26
34,29
0,0
69,36
34,59
39,29
30,16
69,16
21,23
52,23
65,49
48,33
78,13
21,16
30,6
8,63
69,39
48,63
4,16
21,26
56,43
21,26
48,36
21,23
52,63
26,29
0,19
0,9
52,9
4,43
17,16
26,3
52,46
69,6
34,0
61,49
4,36
30,49
78,49
56,13
43,6
34,36
39,49
0,13
43,9
21,16
56,16
52,59
61,43
30,43
65,43
30,6
8,19
17,63
56,0
65,63
13,0
83,33
30,63
74,43
34,19
61,19
65,33
4,26
52,33
17,33
4,43
61,53
74,29
17,49
26,6
48,3
83,56
17,16
13,46
78,0
39,43
4,13
43,29
0,16
13,19
17,16
83,0
0,6
48,39
4,36
69,23
61,19
61,43
56,63
74,29
21,29
83,23
65,26
74,63
26,29
26,3
34,56
26,39
0,46
78,13
21,26
69,53
52,26
48,16
21,23
43,43
39,63
26,36
4,43
61,9
43,6
61,59
83,56
65,43
61,46
13,43
0,63
69,36
34,53
61,19
65,26
48,33
61,19
61,46
83,19
56,13
83,46
43,6
39,59
21,13
48,0
83,63
48,36
21,26
43,16
0,3
65,39
74,16
13,59
78,9
78,23
4,53
52,0
56,39
69,36
39,59
21,33
61,63
8,29
43,26
30,26
78,56
30,36
13,53
21,26
13,39
39,26
69,36
52,29
0,49
69,46
0,33
17,63
4,46
43,0
34,33
39,29
56,26
74,23
0,33
61,16
69,13
39,0
78,56
83,53
52,46
26,3
26,33
48,49
74,36
78,13
30,19
61,43
61,46
43,13
17,26
39,19
21,13
4,43
65,36
8,33
61,3
34,13
56,46
48,23
61,36
39,6
61,36
69,3
39,0
56,29
43,13
8,36
4,33
0,59
83,59
78,13
69,23
8,49
4,3
13,39
30,33
26,23
52,29
34,19
0,36
8,63
52,29
52,0
61,53
26,39
4,36
74,33
52,9
0,19
39,26
52,33
43,53
78,26
52,46
61,16
65,59
83,26
17,23
69,23
56,49
48,33
13,33
52,13
61,29
30,29
17,43
74,29
56,3
43,39
0,23
61,13
48,43
13,29
0,36
74,26
0,56
8,53
39,16
65,63
8,0
74,6
61,39
56,63
26,23
56,6
17,16
17,33
13,0
21,19
0,33
48,13
0,23
39,19
48,9
65,29
69,26
74,39
69,26
65,6
78,56
83,63
65,56
26,59
21,56
26,56
52,56
69,0
56,26
34,6
78,26
56,43
48,19
21,43
52,49
21,49
17,0
26,56
30,53
26,26
4,0
56,36
69,49
8,6
0,23
83,9
4,13
17,6
26,43
0,33
26,6
69,33
21,43
26,56
26,16
65,46
8,3
39,49
13,19
56,9
34,19
83,0
65,53
21,36
78,23
52,19
78,29
65,59
34,6
78,59
74,59
0,6
69,13
83,33
56,53
39,0
69,19
21,59
83,53
39,59
30,23
69,9
65,53
65,33
26,23
48,26
74,0
69,13
52,0
21,0
39,16
56,23
65,56
65,33
4,29
43,29
61,23
34,43
65,19
34,29
26,6
48,36
78,39
21,16
78,0
30,29
0,43
17,56
26,33
74,9
65,33
56,0
56,29
39,39
52,9
78,36
30,49
48,43
83,63
74,19
8,43
83,16
13,43
0,13
83,23
65,26
0,9
0,39
17,36
65,63
34,53
39,9
52,19
52,19
0,39
21,36
43,9
39,13
78,63
21,16
17,49
52,16
48,9
61,6
30,29
30,23
8,63
4,29
17,23
0,33
65,23
21,53
17,63
21,29
83,19
78,0
39,23
83,43
21,53
39,53
21,9
13,33
21,19
17,16
8,9
52,23
21,59
43,16
8,63
34,53
26,49
8,29
61,13
0,56
74,9
56,36
78,53
13,26
78,29
0,26
65,63
74,56
4,0
30,3
13,29
0,26
69,39
78,49
65,16
26,6
74,53
61,16
4,46
61,56
39,9
48,63
52,46
4,26
52,53
74,3
4,49
34,53
48,6
78,26
17,3
69,56
74,33
4,46
61,29
69,3
13,49
8,3
26,36
4,46
74,0
74,49
4,56
21,46
26,6
0,46
4,53
21,49
65,16
43,9
56,33
65,46
8,16
30,0
39,49
21,36
4,26
78,23
4,0
34,46
61,59
17,23
43,0
61,3
17,59
34,46
56,56
21,9
78,49
43,19
8,19
56,36
13,53
83,59
78,23
34,46
8,9
39,26
13,0
78,49
83,43
61,3
17,49
83,3
21,56
48,53
78,6
74,63
13,46
26,16
26,3
8,43
26,13
65,23
0,9
30,0
74,16
17,6
26,53
56,56
61,36
69,49
56,16
78,33
26,0
0,0
26,9
65,39
39,53
56,53
78,46
0,59
74,19
78,19
69,59
74,26
4,56
30,36
4,0
0,6
61,46
52,13
4,49
30,19
43,33
8,36
30,56
8,16
17,13
17,36
13,43
43,36
78,43
8,43
83,26
30,56
65,29
34,16
39,43
4,0
17,39
13,13
56,16
13,43
83,39
48,43
30,53
17,23
17,0
43,43
43,29
8,63
83,23
21,23
21,3
83,36
74,59
69,59
30,23
56,63
4,29
17,43
43,9
34,46
65,0
56,23
30,19
61,43
69,39
43,46
69,16
78,43
65,43
21,33
21,59
4,6
83,23
4,19
8,43
43,56
0,16
74,63
0,29
56,23
78,63
17,19
34,9
43,3
0,26
21,33
26,0
17,63
65,13
69,13
56,46
74,23
56,59
56,26
48,53
74,43
43,23
83,29
83,56
56,23
34,63
43,49
39,16
78,26
83,53
17,33
78,23
13,46
21,6
39,36
34,26
43,23
34,46
0,13
4,16
13,39
74,56
74,56
34,16
39,49
74,6
39,13
69,59
52,6
48,13
56,9
17,23
48,19
39,43
17,36
83,59
43,0
56,43
69,59
61,33
13,53
52,56
69,39
69,53
30,36
52,29
34,16
56,63
26,53
52,53
48,9
83,49
30,9
8,13
83,49
0,56
34,6
17,36
61,59
83,29
52,36
56,39
43,6
0,9
39,6
78,49
21,59
13,39
78,56
8,19
0,26
83,43
30,23
8,46
69,56
61,53
17,0
4,23
52,3
65,19
74,23
8,36
21,26
69,19
8,6
8,3
65,9
13,49
78,43
39,26
78,26
48,6
13,43
39,46
26,59
48,3
34,29
74,29
0,26
34,13
43,23
78,23
78,6
74,0
83,63
17,29
21,43
48,59
78,3
17,36
8,0
48,46
56,29
74,39
17,0
61,0
4,39
78,0
48,46
8,43
21,56
65,9
83,39
56,56
4,56
43,23
13,13
39,56
52,13
61,23
30,63
26,29
34,59
30,36
52,39
74,49
48,39
26,56
56,9
13,19
21,46
39,26
21,56
74,19
8,26
26,26
48,63
21,33
17,63
4,46
39,56
69,19
61,19
69,26
43,13
48,53
8,56
34,0
43,16
65,16
30,36
78,23
26,16
30,26
48,23
65,49
83,39
30,29
69,39
30,6
74,33
17,59
34,26
21,9
61,59
52,6
21,6
8,39
21,16
21,16
21,56
74,53
26,3
61,19
13,0
13,43
8,56
65,53
8,29
13,49
4,26
13,59
0,26
83,0
52,3
4,26
4,63
39,39
74,59
69,49
48,9
34,33
74,59
83,39
13,16
13,6
34,9
61,29
21,53
39,19
69,19
34,63
0,26
65,0
43,3
13,13
39,33
69,26
0,56
78,29
30,33
56,53
34,23
0,23
48,36
61,3
65,6
0,26
26,23
34,26
13,19
78,39
74,56
74,63
13,59
61,23
61,63
4,63
74,6
61,49
0,26
69,23
8,29
4,49
78,6
61,9
21,39
43,29
74,13
39,53
39,49
13,23
52,6
30,29
52,29
74,49
43,6
0,39
39,59
56,43
48,46
52,16
74,39
21,63
17,26
65,16
39,16
52,26
61,46
83,63
61,29
21,56
65,3
83,49
48,59
0,36
0,26
34,59
17,26
83,3
34,13
8,39
65,36
65,26
8,0
13,63
30,59
69,59
8,3
52,0
30,39
65,33
83,9
4,3
17,49
69,9
21,26
74,46
83,13
17,9
4,9
39,59
4,46
39,53
26,19
30,49
52,6
83,13
26,19
83,36
8,46
21,6
52,3
39,53
69,43
34,53
4,26
17,16
43,6
52,59
13,56
4,23
30,63
17,16
56,13
34,9
0,0
17,0
56,53
8,23
34,19
61,3
4,3
43,56
21,0
0,59
78,6
34,13
78,13
8,63
65,9
69,23
52,23
65,6
74,59
39,26
21,26
0,33
17,36
83,3
43,6
4,29
56,23
83,3
21,39
13,23
52,6
43,19
30,56
83,39
74,9
39,43
30,33
26,49
21,53
34,43
34,9
39,3
74,46
0,16
74,13
83,43
21,39
8,49
8,53
48,53
39,3
13,53
65,23
83,16
4,46
34,39
43,26
4,3
13,9
0,9
56,29
13,39
0,16
83,19
61,59
61,29
13,0
65,43
83,6
69,13
39,9
43,59
65,39
52,33
74,39
83,13
52,53
74,13
78,33
13,9
52,6
17,23
4,36
13,9
